2020-11-13 21:53:22.301 - INFO - 7999 - azureml.train.automl.automlconfig._start_execution:219 - No compute target or run config provided. Running local legacy run.
2020-11-13 21:53:22.304 - INFO - 7999 - azureml.train.automl.automlconfig._start_execution:259 - Submitting local legacy run.
2020-11-13 21:53:22.305 - INFO - 7999 - azureml.automl.core.package_utilities._log_activity:54 - ActivityStarted: PackagesCheck
2020-11-13 21:53:22.338 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: json-logging-py, Version: 0.2 found.
2020-11-13 21:53:22.338 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: flask, Version: 1.0.3 found.
2020-11-13 21:53:22.338 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-core, Version: 1.18.0 found.
2020-11-13 21:53:22.339 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-model-management-sdk, Version: 1.0.1b6.post1 found.
2020-11-13 21:53:22.339 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: applicationinsights, Version: 0.11.9 found.
2020-11-13 21:53:22.340 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: werkzeug, Version: 1.0.1 found.
2020-11-13 21:53:22.340 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-dataset-runtime, Version: 1.18.0 found.
2020-11-13 21:53:22.340 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: configparser, Version: 3.7.4 found.
2020-11-13 21:53:22.341 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: gunicorn, Version: 19.9.0 found.
2020-11-13 21:53:22.350 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: msrest, Version: 0.6.19 found.
2020-11-13 21:53:22.350 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: msrestazure, Version: 0.6.4 found.
2020-11-13 21:53:22.351 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: requests, Version: 2.24.0 found.
2020-11-13 21:53:22.351 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-telemetry, Version: 1.18.0 found.
2020-11-13 21:53:22.351 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-core, Version: 1.18.0 found.
2020-11-13 21:53:22.351 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-train-restclients-hyperdrive, Version: 1.18.0 found.
2020-11-13 21:53:22.352 - INFO - 7999 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-telemetry, Version: 1.18.0 found.
